subj,gender,vowel,f1,f2,f3
Speaker105,m,ɔ̃,618.18612513731,944.060355172534,2660.85351393646
Speaker105,m,ɔ̃,576.552291130159,893.070290530009,2650.53214064377
Speaker105,m,o,487.976214402248,1060.38900590904,2647.47966577662
Speaker105,m,o,507.765731475013,1072.1274698401,2601.65119108493
Speaker105,m,o,499.469992103865,1047.20914131631,2612.89989277638
Speaker105,m,ɔ̃,573.742671115101,1164.96330951155,2437.87797269289
Speaker105,m,ɔ̃,606.081076647209,1130.54123252654,2523.28907137691
Speaker105,m,ɔ̃,587.703113152731,1105.53651951408,2469.20790084984
Speaker105,m,ɔ,556.638405475772,1060.70400318084,2464.7001816992
Speaker105,m,ɔ,582.683964240395,1039.22389877076,2565.07033992545
Speaker105,m,ɔ,558.433105101769,1047.71289145796,2575.791668028
Speaker105,m,ɔ̃,600.200829018119,1130.08445597766,2335.49178224288
Speaker105,m,ɔ̃,543.417771966657,985.508536213245,2551.08502543878
Speaker105,m,ɔ̃,624.252716330064,898.318283877381,2609.91345916376
Speaker105,m,ɔ,538.557151214007,1056.10018790374,2610.36446574478
Speaker105,m,ɔ,531.402486542363,1067.13950962068,2720.38889209077
Speaker105,m,ɔ,536.512833690538,1073.32590052447,2618.13861506454
Speaker105,m,ɔ̃,586.336698911996,1234.30239484317,2508.22211133119
Speaker105,m,ɔ̃,528.319942843305,1112.2916147666,2576.84423479827
Speaker105,m,ɔ̃,563.054823025736,1054.04094338046,2545.22096382986
Speaker105,m,ɔ,562.348124796313,1014.62490247423,2428.02249975098
Speaker105,m,ɔ,536.446321792196,1047.67495889189,2490.66014657518
Speaker105,m,ɔ,553.791198646651,1011.73347236493,2400.40621364423
Speaker105,m,ɔ̃,634.766584568193,1142.46004368959,2395.23459738573
Speaker105,m,ɔ̃,657.693765106618,1099.47384347054,2479.38543752978
Speaker105,m,ɔ,553.5281098265,1027.61100458717,2425.8846157647
Speaker105,m,ɔ,504.256124001656,956.531744588914,2580.26855166458
Speaker105,m,ɔ,560.785012069608,1023.69976813922,2390.88086806172
Speaker105,m,ɔ̃,585.118625083034,965.399511552316,2545.46467157164
Speaker105,m,ɔ̃,528.618160975681,970.442427857104,2407.81523564213
Speaker105,m,ɔ̃,613.477904222399,928.827197770763,2586.17121521791
Speaker95,m,i,286.041987798375,2251.92931788177,3120.06179080031
Speaker95,m,ĩ,309.997742898992,2288.67639281563,2996.01196292236
Speaker95,m,i,327.340130701116,2050.84230330843,2448.04121004412
Speaker95,m,ĩ,340.687794631852,2174.09158389874,2651.9698914591
Speaker95,m,i,339.171920398828,2263.1583426311,2844.79900103258
Speaker95,m,ĩ,359.069232304773,2144.72770427222,2801.01492275571
Speaker95,m,ĩ,351.371249031553,2383.11137914824,2907.23350765586
Speaker95,m,i,356.364457419366,2082.70341866594,2867.95557909122
Speaker95,m,ĩ,346.124553851785,2270.91022955875,3146.36461335262
Speaker95,m,i,302.332436727482,2262.85440756735,3082.96256676165
Speaker95,m,i,298.549074272987,2337.92993918315,3474.46755855821
Speaker95,m,e,355.615760324498,2071.18973789025,2563.00118458235
Speaker95,m,ẽ,511.677094421733,1926.05897287384,2489.10344477603
Speaker95,m,e,502.033090279084,1639.27695160861,2654.78058193418
Speaker95,m,e,384.723004272807,1883.73073438698,2648.59611478624
Speaker95,m,ẽ,471.06538365029,1858.58600413013,2654.09119089918
Speaker95,m,ẽ,398.237636039197,1774.15909012076,2714.50014363129
Speaker95,m,ẽ,392.281153620036,1801.62373976902,2661.00240933028
Speaker95,m,e,403.27469475175,2038.93872643923,2507.94568500497
Speaker95,m,ẽ,565.716968909387,1757.03857562485,2632.15431281328
Speaker95,m,ɛ,431.570610861935,1818.04262117363,2544.04481087034
Speaker95,m,ɛ̃,451.635756403524,1937.58695624081,2720.23472682453
Speaker95,m,ɛ,466.401568471546,1837.47848942229,2689.07235929633
Speaker95,m,ɛ̃,494.545093419387,1876.08093493276,2660.42428197199
Speaker95,m,ɛ,518.60323548245,1790.12808049296,2562.99971267415
Speaker95,m,ɛ,500.292315658265,1777.83319842337,2629.87479640995
Speaker95,m,ɛ,529.557401690309,1708.74902359914,2596.10382884498
Speaker95,m,ɛ̃,523.018199286064,1828.05467570852,2614.26591985857
Speaker95,m,ɛ,443.213989075711,1830.44194546493,2464.80297413942
Speaker95,m,ɛ̃,400.291148364089,1948.26354234454,2781.33851192374
Speaker95,m,ɛ̃,445.66010364186,1913.07857622809,2625.26821321296
Speaker95,m,ɛ,538.725277650696,1748.82649984548,2391.2587059042
Speaker95,m,ɛ̃,546.698316389783,1800.53403899884,2466.63851518818
Speaker95,m,ɛ,545.61931805498,1805.61298128825,2458.12068162593
Speaker95,m,ɛ,560.207929399874,1718.86990767157,2430.50226817552
Speaker95,m,ɛ,571.767841885321,1778.15185589092,2428.97982415253
Speaker95,m,ɛ̃,528.994202704498,1908.60427414586,2409.98753085713
Speaker95,m,ɨ,417.107806360158,1273.24842461024,2416.6813360968
Speaker95,m,ɨ,431.332842635769,1169.54958814004,2480.39815378287
Speaker95,m,ɨ,426.229909607622,1573.0450442549,2410.15120772741
Speaker95,m,ɨ,420.569299975561,1680.47565092574,2560.69774327822
Speaker95,m,ə̃,436.622853507213,1281.20114559787,2541.41124341188
Speaker95,m,ə,511.679204460329,1015.57042494138,2378.10049791965
Speaker95,m,ɨ̃,517.704655134243,1138.27747311968,2355.80158601831
Speaker95,m,ɨ̃,565.269398227608,1064.35552690125,2446.37252379592
Speaker95,m,ə,486.017023879383,1156.0768161268,2356.42696373622
Speaker95,m,ə,536.755366084094,1139.91507573992,2429.82135820303
Speaker95,m,ə̃,484.956482894147,1252.04751506011,2615.38983092289
Speaker95,m,ə̃,437.253288075298,1345.02818266576,2537.42385623367
Speaker95,m,ə̃,441.441279433319,1281.88559596296,2498.68279159635
Speaker95,m,a,672.761652888548,1245.81684570163,2324.69438729772
Speaker95,m,ã,619.434159106283,1286.82606063635,2199.86823059687
Speaker95,m,a,731.877665676451,1361.34097855837,2318.56650254342
Speaker95,m,ã,682.830311376884,1337.70216309435,2425.58585758924
Speaker95,m,a,543.849024799716,1611.19096504398,2407.16357039149
Speaker95,m,a,621.155616723287,1553.65092810242,2386.64806453096
Speaker95,m,ã,691.078508915986,1308.0438830775,2376.98486523264
Speaker95,m,ã,682.182762105843,1358.71224306197,2421.89340268091
Speaker95,m,a,695.802785905521,1259.69581764197,2376.27820373707
Speaker95,m,a,724.471026539063,1171.80248556057,2337.76309403129
Speaker95,m,a,838.11902475792,1494.07015312206,2373.87858733555
Speaker95,m,a,741.698086786431,1354.16541630248,2249.55497700642
Speaker95,m,ã,761.903910615855,1425.37006278912,2008.12282499171
Speaker95,m,u,367.085048739688,1103.84935663592,2433.8910243458
Speaker95,m,ũ,384.815289352325,1058.65403457647,2643.85380832616
Speaker95,m,ũ,345.413611545917,857.529646675684,2478.34746379664
Speaker95,m,ũ,356.317634519771,872.967408711493,2461.31731856875
Speaker95,m,u,374.380143977622,1005.94751438373,2265.26915193029
Speaker95,m,ũ,322.532610307812,1100.94723991391,1995.87405472332
Speaker95,m,ũ,373.012061838348,1091.53954384174,2121.22574137249
Speaker95,m,o,381.789122538772,1057.658404776,2392.5638661883
Speaker95,m,õ,596.897392248463,889.953152443134,2364.77189293091
Speaker95,m,õ,692.640055631516,878.509942908353,2369.39916705337
Speaker95,m,o,476.650803814728,1036.39977933296,2281.49403660728
Speaker95,m,o,399.208856418917,955.403562280146,2378.124799744
Speaker95,m,õ,400.561564864581,789.213737770837,2622.91682719876
Speaker95,m,õ,391.543319124305,904.87566472123,2621.33135767064
Speaker95,m,o,421.75258346143,801.415392431866,2470.9526814723
Speaker95,m,o,415.239079222493,852.833385093837,2517.72387540577
Speaker95,m,õ,408.896410561137,802.19498149077,2476.02373511491
Speaker95,m,õ,499.392836055778,882.012327953291,2755.90964655409
Speaker95,m,o,507.648063400155,934.712899397482,2340.74685101658
Speaker95,m,o,397.587361987951,797.13417701193,2479.88278927988
Speaker95,m,ɔ̃,571.802536700087,924.470322984801,2430.92457037899
Speaker95,m,ɔ̃,519.438597012608,958.522341614538,2308.19348754563
Speaker95,m,ɔ̃,516.675468860399,1017.22554203829,2361.85397171421
Speaker95,m,ɔ,563.143371084365,964.445978330188,2258.26670703452
Speaker95,m,ɔ,542.610726312504,993.159820548914,2319.77147496975
Speaker95,m,ɔ̃,428.124937378589,1113.93547733735,2338.04109036599
Speaker95,m,ɔ̃,488.027132915914,1053.40239583677,2463.48907213377
Speaker95,m,ɔ̃,429.87598350746,956.044863534503,2447.75702520891
Speaker95,m,ɔ,571.444072236773,880.674090120879,2361.59658910255
Speaker95,m,ɔ,521.605987476139,1010.50985247937,2382.59499664023
Speaker95,m,ɔ̃,497.809643956414,844.248011868386,2288.18432846112
Speaker99,m,i,287.777364844757,2464.22079157284,2881.18032411709
Speaker99,m,i,306.248147342453,2601.63583552289,2868.61805586487
Speaker99,m,i,293.056484889228,2662.18075102492,2986.38145383808
Speaker99,m,ĩ,287.467957684161,2556.53185525352,2695.19105798534
Speaker99,m,ĩ,289.034703761485,2550.86114360443,2890.09200217083
Speaker99,m,ĩ,300.076594483045,2626.88911701653,2962.23334081671
Speaker99,m,i,346.555511539777,2031.38242508911,2240.55695846233
Speaker99,m,i,358.737683298307,2024.32219349816,2262.32675960254
Speaker99,m,i,340.289710853175,2035.20382316074,2243.07689485571
Speaker99,m,ĩ,314.522470489229,2103.10342214502,2674.59048609428
Speaker99,m,ĩ,368.138955273392,2133.05307205786,2923.54349807657
Speaker99,m,i,326.250518084065,2523.43148596071,3024.2670303306
Speaker99,m,i,333.52474622358,2510.12942299791,3060.06614600833
Speaker99,m,i,332.191409127068,2539.54108928267,2683.04977947045
Speaker99,m,ĩ,332.053715624258,2465.18297033958,2532.50880143782
Speaker99,m,ĩ,330.425967181998,2469.67957851143,2578.79474192623
Speaker99,m,ĩ,335.289278585112,2385.98397619363,2627.82703186205
Speaker99,m,i,339.892367041072,2124.41814104146,2418.8028754905
Speaker99,m,i,328.287587562261,2531.85101047868,3400.0836040678
Speaker99,m,i,320.245105110292,2450.8303392858,2581.79919867576
Speaker99,m,ĩ,346.494393783683,2298.27562812478,2436.16329425017
Speaker99,m,ĩ,339.951276027589,2335.12955409081,2349.02869222105
Speaker99,m,ĩ,344.996952329797,2241.58266599349,2297.43736291192
Speaker99,m,i,319.20113350337,2314.75323108886,2910.35698332863
Speaker99,m,i,323.322885947134,2315.20705503564,2985.32721848581
Speaker99,m,i,320.305027122813,2357.31766891454,2941.52422384839
Speaker99,m,ĩ,340.381672974294,2339.31647310568,3303.24638211902
Speaker99,m,ĩ,332.175445867114,2419.95758270967,2939.57084570157
Speaker99,m,ĩ,335.879630269542,2362.8107715377,3368.3517302443
Speaker99,m,e,392.560640477383,2095.41483757597,2265.13823081982
Speaker99,m,e,388.02202784421,2277.71201428662,2433.29543761766
Speaker99,m,e,406.825630828859,2088.13219156746,2335.34225053962
Speaker99,m,ẽ,616.700440643683,1773.30740672614,2106.10036049058
Speaker99,m,ẽ,649.688372313107,1859.22509156799,2238.3546642454
Speaker99,m,ẽ,544.406193789348,1943.00547639534,2276.60270655733
Speaker99,m,e,478.850277570917,1784.81686310265,2193.98959515346
Speaker99,m,e,425.927950604586,1949.03215014578,2467.32530786791
Speaker99,m,e,473.555482100766,1836.49030409314,2654.77893454011
Speaker99,m,ẽ,497.466059967719,1651.02348016853,2350.30376723629
Speaker99,m,ẽ,593.805196659827,1643.83614231911,2351.92469689769
Speaker99,m,ẽ,534.871024589465,1621.71043487765,2346.61009523024
Speaker99,m,e,422.467407672729,2006.20127271673,2324.14604209146
Speaker99,m,e,422.702457944949,2091.13238773436,2138.20074646121
Speaker99,m,e,425.10320292718,2035.94418549559,2522.80874225403
Speaker99,m,ẽ,641.853204892667,1733.54527933598,2260.37399102579
Speaker99,m,ẽ,606.591017951494,1889.17380106832,2416.62081744525
Speaker99,m,ẽ,615.521269497747,1724.24719050427,2141.56275001786
Speaker99,m,ɛ,512.729056056854,1691.15055102242,2291.9029480597
Speaker99,m,ɛ,481.882679220674,1772.71602311744,2270.15429382883
Speaker99,m,ɛ,492.14361809171,1872.33588165691,2331.80692691715
Speaker99,m,ɛ̃,602.91248108239,1922.42065470495,2167.25495739212
Speaker99,m,ɛ̃,548.337108525431,2027.90486786107,2467.77370921314
Speaker99,m,ɛ̃,584.497582386928,1919.8409578826,2381.7799512329
Speaker99,m,ɛ̃,497.630417119729,2088.2535579741,2142.0011273895
Speaker99,m,ɛ̃,507.496700413171,2009.16677882446,2264.21176572532
Speaker99,m,ɛ̃,505.267293387847,1953.2379393185,2279.13490376468
Speaker99,m,ɛ,582.862747101227,1782.07672466632,2325.19855121025
Speaker99,m,ɛ,555.729318317523,1764.65497309045,2426.18506212313
Speaker99,m,ɛ,594.597732472938,1760.85249088973,2434.72648390982
Speaker99,m,ɛ̃,595.89085518718,1721.90803447643,2261.75078398166
Speaker99,m,ɛ̃,609.974780252358,1835.59290284369,2491.91960827844
Speaker99,m,ɛ̃,567.021248339661,1773.31013016065,2231.49313379868
Speaker99,m,ɛ,505.984881861623,1742.73659365233,2348.51699785849
Speaker99,m,ɛ,519.135784069058,1710.23395954311,2392.55006571664
Speaker99,m,ɛ,509.993451672312,1746.17319019874,2231.56253242055
Speaker99,m,ɛ̃,497.952690804386,1857.13991323983,2282.16919476881
Speaker99,m,ɛ̃,540.45837287975,1883.22705952472,2397.12208863474
Speaker99,m,ɛ̃,525.485363762218,1958.55110922674,2497.85904985254
Speaker99,m,ɛ,558.297299058164,1873.29896549618,2311.58638184497
Speaker99,m,ɛ,516.486790647218,1871.4402226773,2463.22760289225
Speaker99,m,ɛ,482.144280605933,1920.86621991451,2392.76243810842
Speaker99,m,ɛ̃,566.978328069732,2008.82619687011,2506.22798791939
Speaker99,m,ɛ̃,593.691404752599,1957.25234052221,2101.24587883736
Speaker99,m,ɛ̃,582.389551236351,1841.61645591893,2099.52882257004
Speaker99,m,ɛ,583.126405288711,1683.05953153942,2684.6509043112
Speaker99,m,ɛ,561.563186247639,1673.555739583,2396.85749441228
Speaker99,m,ɛ̃,659.422377882333,1672.4883921428,2280.76191550626
Speaker99,m,ɛ̃,644.322538349907,1845.83422229348,2375.77543291974
Speaker99,m,ɛ̃,638.592768167114,1761.10976513561,2368.7214351399
Speaker99,m,ɨ,449.199534768089,1213.15465299696,2358.28617211049
Speaker99,m,ɨ,470.736956149754,1189.48489435358,2506.5974822203
Speaker99,m,ə̃,479.50106926343,1392.06298391384,2571.16637457281
Speaker99,m,ɨ,482.811293259851,1265.81164044694,2757.88425168191
Speaker99,m,ɨ,472.520043200552,1278.53702526058,2620.52130003137
Speaker99,m,ɨ,494.105512913702,1197.97041748496,2630.2156635723
Speaker99,m,ə̃,451.701151027274,1500.30566069689,2474.83172890144
Speaker99,m,ə̃,473.548762488645,1310.40575194823,2548.66612745001
Speaker99,m,ə̃,488.834572732494,1315.1049169693,2398.40846102398
Speaker99,m,ə,525.120054801305,913.075961084308,2536.34897925816
Speaker99,m,ə,565.824163422565,919.950463697113,2469.14724600004
Speaker99,m,ɨ̃,472.948577163188,1062.20432597723,2502.28572823185
Speaker99,m,ɨ̃,504.971132089906,1057.38478440462,2505.97323910938
Speaker99,m,ɨ̃,502.373376752282,1033.11934743617,2315.45999141886
