subj,gender,vowel,f1,f2,f3,f2-f1
Speaker94,f,õ,462.287547383354,1118.91254441095,2714.26616212136,656.624997027599
Speaker94,f,o,433.425063807207,904.122024935012,2714.14777587237,470.696961127805
Speaker94,f,ɔ̃,460.691634091357,1015.75674787404,2773.71605943129,555.065113782678
Speaker94,f,o,488.991074805809,1041.42336764289,2876.46169459433,552.432292837081
Speaker94,f,ɔ̃,601.934393973943,1189.87981528862,2909.41168100163,587.945421314678
Speaker94,f,ɔ,594.553250889596,1146.41428468676,2971.09894077665,551.861033797168
Speaker94,f,ɔ,614.669642215212,1126.72295593494,2935.056620082,512.053313719724
Speaker94,f,ɔ̃,594.484457532659,1200.02383657427,2843.45755939433,605.539379041615
Speaker94,f,ɔ̃,593.277303412715,1062.04795368555,2895.26774481101,468.770650272839
Speaker94,f,ɔ,451.804860192565,1089.4649496174,2804.61176660803,637.660089424834
Speaker94,f,ɔ̃,474.497227870217,1317.09432201748,2663.71187147769,842.597094147262
Speaker94,f,ɔ,557.176711221343,1104.36399756572,2832.09986271775,547.187286344379
Speaker94,f,ɔ̃,579.543183801394,1024.27249130173,2705.7492919949,444.729307500339
Speaker94,f,ɔ,502.307986845009,1085.66873986881,2757.9760251052,583.360753023802
Speaker94,f,ɔ̃,387.930254463941,1173.21014143603,2814.21305579598,785.279886972088
Speaker94,f,ɔ̃,491.099450576143,1092.9772699683,2792.1213451585,601.877819392158
Speaker95,m,i,286.041987798375,2251.92931788177,3120.06179080031,1965.8873300834
Speaker95,m,ĩ,309.997742898992,2288.67639281563,2996.01196292236,1978.67864991664
Speaker95,m,i,327.340130701116,2050.84230330843,2448.04121004412,1723.50217260732
Speaker95,m,ĩ,340.687794631852,2174.09158389874,2651.9698914591,1833.40378926689
Speaker95,m,i,339.171920398828,2263.1583426311,2844.79900103258,1923.98642223227
Speaker95,m,ĩ,359.069232304773,2144.72770427222,2801.01492275571,1785.65847196745
Speaker95,m,ĩ,351.371249031553,2383.11137914824,2907.23350765586,2031.74013011669
Speaker95,m,i,356.364457419366,2082.70341866594,2867.95557909122,1726.33896124657
Speaker95,m,ĩ,346.124553851785,2270.91022955875,3146.36461335262,1924.78567570697
Speaker95,m,i,302.332436727482,2262.85440756735,3082.96256676165,1960.52197083986
Speaker95,m,i,298.549074272987,2337.92993918315,3474.46755855821,2039.38086491016
Speaker95,m,e,355.615760324498,2071.18973789025,2563.00118458235,1715.57397756575
Speaker95,m,ẽ,511.677094421733,1926.05897287384,2489.10344477603,1414.38187845211
Speaker95,m,ẽ,368.899211938671,2127.09258868894,2834.26161111024,1758.19337675027
Speaker95,m,e,502.033090279084,1639.27695160861,2654.78058193418,1137.24386132953
Speaker95,m,e,384.723004272807,1883.73073438698,2648.59611478624,1499.00773011417
Speaker95,m,ẽ,471.06538365029,1858.58600413013,2654.09119089918,1387.52062047984
Speaker95,m,ẽ,398.237636039197,1774.15909012076,2714.50014363129,1375.92145408156
Speaker95,m,ẽ,392.281153620036,1801.62373976902,2661.00240933028,1409.34258614898
Speaker95,m,e,403.27469475175,2038.93872643923,2507.94568500497,1635.66403168748
Speaker95,m,ẽ,565.716968909387,1757.03857562485,2632.15431281328,1191.32160671547
Speaker95,m,ɛ,431.570610861935,1818.04262117363,2544.04481087034,1386.47201031169
Speaker95,m,ɛ̃,451.635756403524,1937.58695624081,2720.23472682453,1485.95119983729
Speaker95,m,ɛ,466.401568471546,1837.47848942229,2689.07235929633,1371.07692095075
Speaker95,m,ɛ̃,494.545093419387,1876.08093493276,2660.42428197199,1381.53584151337
Speaker95,m,ɛ,518.60323548245,1790.12808049296,2562.99971267415,1271.52484501051
Speaker95,m,ɛ,500.292315658265,1777.83319842337,2629.87479640995,1277.5408827651
Speaker95,m,ɛ,529.557401690309,1708.74902359914,2596.10382884498,1179.19162190883
Speaker95,m,ɛ̃,523.018199286064,1828.05467570852,2614.26591985857,1305.03647642246
Speaker95,m,ɛ,443.213989075711,1830.44194546493,2464.80297413942,1387.22795638922
Speaker95,m,ɛ̃,400.291148364089,1948.26354234454,2781.33851192374,1547.97239398045
Speaker95,m,ɛ̃,445.66010364186,1913.07857622809,2625.26821321296,1467.41847258623
Speaker95,m,ɛ,538.725277650696,1748.82649984548,2391.2587059042,1210.10122219479
Speaker95,m,ɛ̃,546.698316389783,1800.53403899884,2466.63851518818,1253.83572260906
